index,hex,red,green,blue,lstar
0,#ae2020,174,32,32,38.1
1,#aa853c,170,133,60,57.7
2,#4c2e22,76,46,34,22.3
3,#2f5032,47,80,50,30.8
4,#4b5f3b,75,95,59,37.8
5,#5d8080,93,128,128,51.1
6,#002d72,0,45,114,20.4
7,#1a1a1a,26,26,26,9.3
