index,hex,red,green,blue,lstar
0,#647371,100,115,113,47.2
1,#707e72,112,126,114,51.4
2,#7f8876,127,136,118,55.5
3,#8a9282,138,146,130,59.5
4,#959d8e,149,157,142,63.7
5,#a0a79a,160,167,154,67.6
6,#acb2a6,172,178,166,71.8
7,#b7bdb3,183,189,179,75.9
