index,hex,red,green,blue,lstar
0,#2f5032,47,80,50,30.8
1,#4b5f3b,75,95,59,37.8
2,#4d8155,77,129,85,49.4
3,#86876b,134,135,107,55.5
4,#8ba097,139,160,151,64.1
5,#7f5d47,127,93,71,42.5
6,#cec0a3,206,192,163,78.1
7,#5d8080,93,128,128,51.1
