index,hex,red,green,blue,lstar
0,#ae2020,174,32,32,38.1
1,#fae2bc,250,226,188,90.9
2,#002d72,0,45,114,20.4
3,#f57e7e,245,126,126,66.4
4,#2f5032,47,80,50,30.8
5,#85c4e3,133,196,227,76.1
6,#4c2e22,76,46,34,22.3
7,#e6e6e6,230,230,230,91.3
