index,hex,red,green,blue,lstar
0,#ae2020,174,32,32,38.1
1,#eb5050,235,80,80,56.1
2,#f57e7e,245,126,126,66.4
3,#f6b58a,246,181,138,78.7
4,#d99643,217,150,67,67.3
5,#aa853c,170,133,60,57.7
6,#7f5d47,127,93,71,42.5
7,#cec0a3,206,192,163,78.1
