index,hex,red,green,blue,lstar
0,#aa853c,170,133,60,57.7
1,#d8b563,216,181,99,75.2
2,#fae2bc,250,226,188,90.9
3,#f2f2f2,242,242,242,95.5
4,#7d6e7e,125,110,126,48.3
5,#696586,105,101,134,44.3
6,#566382,86,99,130,42.0
