index,hex,red,green,blue,lstar
0,#236c8c,35,108,140,42.7
1,#696586,105,101,134,44.3
2,#7d6e7e,125,110,126,48.3
3,#002d72,0,45,114,20.4
4,#5d8080,93,128,128,51.1
5,#4b5f3b,75,95,59,37.8
6,#ae2020,174,32,32,38.1
7,#aa853c,170,133,60,57.7
