index,hex,red,green,blue,lstar
0,#d37050,211,112,80,58.1
1,#e69c6c,230,156,108,70.7
2,#ffccaa,255,204,170,85.7
3,#f2f2f2,242,242,242,95.5
4,#85c4e3,133,196,227,76.1
5,#368eba,54,142,186,55.8
6,#002d72,0,45,114,20.4
