index,hex,red,green,blue,lstar
0,#d37050,211,112,80,58.1
1,#d78063,215,128,99,62.3
2,#df8e69,223,142,105,66.6
3,#e69d6d,230,157,109,70.9
4,#efa97c,239,169,124,74.9
5,#f5b794,245,183,148,79.3
6,#f9c5ab,249,197,171,83.5
7,#fed4b8,254,212,184,87.8
