index,hex,red,green,blue,lstar
0,#4c2e22,76,46,34,22.3
1,#8f6e56,143,110,86,49.1
2,#cec0a3,206,192,163,78.1
3,#e6e6e6,230,230,230,91.3
4,#5d8080,93,128,128,51.1
5,#236c8c,35,108,140,42.7
6,#002d72,0,45,114,20.4
