index,hex,red,green,blue,lstar
0,#d37050,211,112,80,58.1
1,#e69c6c,230,156,108,70.7
2,#fed4b8,254,212,184,87.8
3,#f2f2f2,242,242,242,95.5
4,#a7b7b3,167,183,179,73.1
5,#56905f,86,144,95,54.8
6,#2f5032,47,80,50,30.8
