index,hex,red,green,blue,lstar
0,#d02b2b,208,43,43,46.1
1,#d99643,217,150,67,67.3
2,#e0be72,224,190,114,78.4
3,#4d8155,77,129,85,49.4
4,#5d8080,93,128,128,51.1
5,#1a6c95,26,108,149,42.9
6,#696586,105,101,134,44.3
7,#7f5d47,127,93,71,42.5
