index,hex,red,green,blue,lstar
0,#1a1a1a,26,26,26,9.3
1,#a9a9a9,169,169,169,69.2
2,#566382,86,99,130,42.0
3,#86876b,134,135,107,55.5
4,#7d6e7e,125,110,126,48.3
5,#5d8080,93,128,128,51.1
6,#83abb7,131,171,183,67.6
7,#cec0a3,206,192,163,78.1
