index,hex,red,green,blue,lstar
0,#4c2e22,76,46,34,22.3
1,#614431,97,68,49,31.6
2,#7b5944,123,89,68,40.9
3,#927158,146,113,88,50.2
4,#a9886f,169,136,111,59.2
5,#bba388,187,163,136,68.4
6,#cdbfa2,205,191,162,77.8
7,#dddad1,221,218,209,87.1
