index,hex,red,green,blue,lstar
0,#f17575,241,117,117,63.9
1,#f6b58a,246,181,138,78.7
2,#cec0a3,206,192,163,78.1
3,#86876b,134,135,107,55.5
4,#8ba097,139,160,151,64.1
5,#a9a9a9,169,169,169,69.2
6,#566382,86,99,130,42.0
7,#a0957b,160,149,123,62.0
