index,hex,red,green,blue,lstar
0,#d99643,217,150,67,67.3
1,#85c4e3,133,196,227,76.1
2,#1a6c95,26,108,149,42.9
3,#e0be72,224,190,114,78.4
4,#d02b2b,208,43,43,46.1
5,#696586,105,101,134,44.3
6,#5d8080,93,128,128,51.1
7,#a9a9a9,169,169,169,69.2
