index,hex,red,green,blue,lstar
0,#ab251c,171,37,28,38.0
1,#c42323,196,35,35,42.9
2,#d63030,214,48,48,47.8
3,#e44242,228,66,66,52.7
4,#ed5857,237,88,87,57.7
5,#f26e6c,242,110,108,62.6
6,#f68382,246,131,130,67.6
7,#fa9696,250,150,150,72.5
