index,hex,red,green,blue,lstar
0,#aa853c,170,133,60,57.7
1,#c39f55,195,159,85,67.3
2,#cbaa60,203,170,96,71.1
3,#d8b563,216,181,99,75.2
4,#e0be72,224,190,114,78.4
5,#e5ca8b,229,202,139,82.3
6,#f4dba7,244,219,167,88.3
7,#fbe8cb,251,232,203,92.8
