index,hex,red,green,blue,lstar
0,#d02b2b,208,43,43,46.1
1,#f17575,241,117,117,63.9
2,#d99643,217,150,67,67.3
3,#e0be72,224,190,114,78.4
4,#4d8155,77,129,85,49.4
5,#86876b,134,135,107,55.5
6,#cec0a3,206,192,163,78.1
7,#7f5d47,127,93,71,42.5
