index,hex,red,green,blue,lstar
0,#aa853c,170,133,60,57.7
1,#e0be72,224,190,114,78.4
2,#fae2bc,250,226,188,90.9
3,#86876b,134,135,107,55.5
4,#7f5d47,127,93,71,42.5
5,#d02b2b,208,43,43,46.1
6,#d99643,217,150,67,67.3
7,#cec0a3,206,192,163,78.1
