index,hex,red,green,blue,lstar
0,#002d72,0,45,114,20.4
1,#1a6c95,26,108,149,42.9
2,#4c98be,76,152,190,59.6
3,#85c4e3,133,196,227,76.1
4,#5d8080,93,128,128,51.1
5,#83abb7,131,171,183,67.6
6,#99a99d,153,169,157,67.7
7,#566382,86,99,130,42.0
