index,hex,red,green,blue,lstar
0,#f57e7e,245,126,126,66.4
1,#fed4b8,254,212,184,87.8
2,#7d6e7e,125,110,126,48.3
3,#696586,105,101,134,44.3
4,#8ba097,139,160,151,64.1
5,#a7b7b3,167,183,179,73.1
6,#85c4e3,133,196,227,76.1
7,#f6b58a,246,181,138,78.7
