index,hex,red,green,blue,lstar
0,#2f5032,47,80,50,30.8
1,#385f3d,56,95,61,36.7
2,#426f48,66,111,72,42.8
3,#4c8054,76,128,84,49.0
4,#589061,88,144,97,55.0
5,#7a9b84,122,155,132,61.0
6,#94a8a0,148,168,160,67.2
7,#a7b7b3,167,183,179,73.1
