index,hex,red,green,blue,lstar
0,#ab251c,171,37,28,38.0
1,#eb5050,235,80,80,56.1
2,#f57e7e,245,126,126,66.4
3,#f6b58a,246,181,138,78.7
4,#fae2bc,250,226,188,90.9
5,#d99643,217,150,67,67.3
6,#7d6e7e,125,110,126,48.3
7,#566382,86,99,130,42.0
