index,hex,red,green,blue,lstar
0,#002d72,0,45,114,20.4
1,#1a6c95,26,108,149,42.9
2,#368eba,54,142,186,55.8
3,#85c4e3,133,196,227,76.1
4,#5d8080,93,128,128,51.1
5,#4d8155,77,129,85,49.4
6,#8ba097,139,160,151,64.1
7,#696586,105,101,134,44.3
