index,hex,red,green,blue,lstar
0,#002d72,0,45,114,20.4
1,#368eba,54,142,186,55.8
2,#89b4c3,137,180,195,70.8
3,#f2f2f2,242,242,242,95.5
4,#fae2bc,250,226,188,90.9
5,#d8b563,216,181,99,75.2
6,#aa853c,170,133,60,57.7
