index,hex,red,green,blue,lstar
0,#002d72,0,45,114,20.4
1,#10437e,16,67,126,28.5
2,#17598b,23,89,139,36.3
3,#1b6f9a,27,111,154,44.1
4,#2085b7,32,133,183,52.4
5,#4d99c0,77,153,192,60.0
6,#5cafdb,92,175,219,68.1
7,#85c4e3,133,196,227,76.1
