index,hex,red,green,blue,lstar
0,#ab251c,171,37,28,38.0
1,#eb5050,235,80,80,56.1
2,#f57e7e,245,126,126,66.4
3,#f2f2f2,242,242,242,95.5
4,#89b4c3,137,180,195,70.8
5,#5d8080,93,128,128,51.1
6,#236c8c,35,108,140,42.7
