index,hex,red,green,blue,lstar
0,#f57e7e,245,126,126,66.4
1,#fed4b8,254,212,184,87.8
2,#e6e6e6,230,230,230,91.3
3,#a7b7b3,167,183,179,73.1
4,#f6b58a,246,181,138,78.7
5,#85c4e3,133,196,227,76.1
6,#83abb7,131,171,183,67.6
7,#7d6e7e,125,110,126,48.3
